session_slug,track,solver,instance,event_index,elapsed,objective
baseline,XCSP3-2025-COP25,ortools,AlteredStates-10_c25.xml.lzma,20,88.9989185333252,202.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-10_c25.xml.lzma,21,104.30479836463928,209.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-10_c25.xml.lzma,22,106.32896590232849,216.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-10_c25.xml.lzma,23,108.60697817802429,229.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-10_c25.xml.lzma,24,113.3014440536499,230.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-10_c25.xml.lzma,25,116.02497291564941,234.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-10_c25.xml.lzma,26,135.47302079200745,240.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-10_c25.xml.lzma,27,223.0869677066803,247.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-10_c25.xml.lzma,28,462.2633454799652,248.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-bis-02_c25.xml.lzma,0,1.4547967910766602,0.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-bis-02_c25.xml.lzma,1,1.8768596649169922,6785528.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-bis-02_c25.xml.lzma,2,1.9105956554412842,8147887.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-bis-02_c25.xml.lzma,3,2.001044988632202,9723408.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-bis-02_c25.xml.lzma,4,2.0455803871154785,9975897.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-bis-02_c25.xml.lzma,5,2.0528836250305176,18584976.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-bis-02_c25.xml.lzma,6,2.0579817295074463,21775345.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-bis-02_c25.xml.lzma,7,5.525695085525513,29145505.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-bis-06_c25.xml.lzma,0,11.426750183105469,0.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-bis-06_c25.xml.lzma,1,11.684833288192749,989948.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-bis-06_c25.xml.lzma,2,12.089879512786865,2960840.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-bis-06_c25.xml.lzma,3,12.6736581325531,9746368.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-bis-06_c25.xml.lzma,4,13.006814241409302,23052783.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-bis-06_c25.xml.lzma,5,13.09255862236023,34852231.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-bis-06_c25.xml.lzma,6,13.296134948730469,67102350.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-bis-06_c25.xml.lzma,7,13.672557830810547,69219872.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-bis-06_c25.xml.lzma,8,13.872214555740356,92892030.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-bis-06_c25.xml.lzma,9,15.070206642150879,97192269.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-bis-06_c25.xml.lzma,10,15.676109313964844,104897550.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-bis-06_c25.xml.lzma,11,16.09765076637268,113272386.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-bis-06_c25.xml.lzma,12,17.183682680130005,122437720.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-bis-06_c25.xml.lzma,13,21.330843687057495,127461999.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-bis-06_c25.xml.lzma,14,21.893898487091064,128917270.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-bis-06_c25.xml.lzma,15,32.56363773345947,130756376.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-bis-06_c25.xml.lzma,16,34.25736713409424,133717655.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-bis-06_c25.xml.lzma,17,37.754101276397705,148277868.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-bis-06_c25.xml.lzma,18,45.68322277069092,155393920.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-bis-06_c25.xml.lzma,19,51.797438859939575,159575035.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-bis-06_c25.xml.lzma,20,59.16241693496704,161536539.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-bis-06_c25.xml.lzma,21,131.83269619941711,165773795.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-bis-06_c25.xml.lzma,22,184.64046382904053,167196709.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-bis-06_c25.xml.lzma,23,199.1183865070343,170803823.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-bis-06_c25.xml.lzma,24,210.84630751609802,170932196.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-bis-06_c25.xml.lzma,25,212.09045577049255,175589953.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-bis-06_c25.xml.lzma,26,212.15458154678345,188402461.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-bis-06_c25.xml.lzma,27,216.61867308616638,204232794.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-bis-06_c25.xml.lzma,28,219.43104577064514,211384296.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-bis-06_c25.xml.lzma,29,228.8253996372223,212027373.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-bis-06_c25.xml.lzma,30,229.60656690597534,213482644.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-bis-06_c25.xml.lzma,31,238.9779953956604,214216035.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-bis-06_c25.xml.lzma,32,244.91418862342834,222478200.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-bis-06_c25.xml.lzma,33,263.2855396270752,223140451.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-bis-06_c25.xml.lzma,34,266.02980756759644,229654322.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-bis-06_c25.xml.lzma,35,269.2680869102478,241224178.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-bis-06_c25.xml.lzma,36,282.1583309173584,247145035.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-bis-06_c25.xml.lzma,37,288.05256175994873,253814924.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-bis-10_c25.xml.lzma,0,35.509467124938965,0.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-bis-10_c25.xml.lzma,1,36.212902545928955,989948.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-bis-10_c25.xml.lzma,2,36.59226202964783,3951227.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-bis-10_c25.xml.lzma,3,37.61980724334717,6889107.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-bis-10_c25.xml.lzma,4,38.4461395740509,13674635.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-bis-10_c25.xml.lzma,5,39.72736215591431,62249526.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-bis-10_c25.xml.lzma,6,41.44619870185852,63333751.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-bis-10_c25.xml.lzma,7,42.64765763282776,83535000.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-bis-10_c25.xml.lzma,8,43.38721966743469,95418718.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-bis-10_c25.xml.lzma,9,45.160825967788696,106019885.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-bis-10_c25.xml.lzma,10,46.29960322380066,132676116.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-bis-10_c25.xml.lzma,11,48.12755584716797,134469832.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-bis-10_c25.xml.lzma,12,51.40924525260925,136308938.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-bis-10_c25.xml.lzma,13,53.30470871925354,149805635.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-bis-10_c25.xml.lzma,14,55.881293535232544,155960548.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-bis-10_c25.xml.lzma,15,56.59436392784119,157216751.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-bis-10_c25.xml.lzma,16,60.877896308898926,164368253.0
baseline,XCSP3-2025-COP25,ortools,AlteredStates-bis-10_c25.xml.lzma,17,63.7764036655426,203906476.0
